PROOF_SWEEP_START 2026-07-28T13:34:39Z worktree=/home/heathledger/Documents/ioi/repos/ioi-m2-attestation head=2498834853799831eb56189b5cbe0caf2d34fb1d
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.27s
     Running unittests src/lib.rs (target/debug/deps/ioi_types-64dc0f67892676f9)

running 301 tests
test app::action::tests::action_request_hash_changes_when_window_binding_changes ... ok
test app::action::tests::action_request_empty_params_hash_as_empty_object ... ok
test app::action::tests::action_request_try_hash_rejects_non_json_params ... ok
test app::action::tests::postcondition_proof_verifies_hash_binding ... ok
test app::action::tests::policy_decision_record_verifies_hash_binding ... ok
test app::agentic::security::intent_catalog_defaults::tests::media_generation_and_analysis_intents_use_kernel_media_capabilities ... ok
test app::agentic::security::intent_catalog_defaults::tests::memory_recall_defaults_to_local_memory_capability_surface ... ok
test app::agentic::tools::tests::browser_canvas_summary_target_maps_to_browser_inspect_scope ... ok
test app::agentic::security::intent_catalog_defaults::tests::model_registry_control_intents_use_kernel_managed_capability_surface ... ok
test app::agentic::security::intent_catalog_defaults::tests::conversation_reply_does_not_inherit_mail_grounding_contract ... ok
test app::action::tests::committed_action_verify_rejects_policy_hash_mismatch ... ok
test app::agentic::security::intent_catalog_defaults::tests::generic_mail_reply_defaults_to_dynamic_provider_selection ... ok
test app::agentic::tools::tests::browser_click_element_serializes_timed_sequence ... ok
test app::agentic::tools::tests::browser_click_element_serializes_follow_up_browser_action ... ok
test app::agentic::security::intent_catalog_defaults::tests::desktop_app_install_intent_requires_host_discovery_and_verification ... ok
test app::action::tests::required_receipt_manifest_verifies_hash_binding ... ok
test app::agentic::tools::tests::browser_dropdown_tools_target_map_to_browser_interact_scope ... ok
test app::agentic::tools::tests::browser_find_text_target_maps_to_browser_interact_scope ... ok
test app::action::tests::execution_observation_receipt_verifies_hash_binding ... ok
test app::action::tests::settlement_receipt_bundle_verifies_hash_binding ... ok
test app::agentic::tools::tests::browser_click_element_target_maps_to_browser_click_element_scope ... ok
test app::agentic::tools::tests::browser_go_back_target_maps_to_browser_interact_scope ... ok
test app::agentic::tools::tests::browser_hover_serializes_tracking_window ... ok
test app::agentic::tools::tests::browser_key_target_maps_to_custom_browser_key_tool ... ok
test app::agentic::tools::tests::browser_navigate_target_maps_to_browser_interact_scope ... ok
test app::agentic::tools::tests::browser_key_serializes_follow_up_browser_action ... ok
test app::agentic::tools::tests::browser_pointer_primitives_target_map_to_browser_interact_scope ... ok
test app::agentic::tools::tests::browser_screenshot_target_maps_to_browser_interact_scope ... ok
test app::agentic::tools::tests::browser_tab_tools_target_map_to_browser_interact_scope ... ok
test app::agentic::tools::tests::browser_synthetic_click_serializes_grounded_target_id ... ok
test app::agentic::tools::tests::browser_type_target_maps_to_custom_browser_type_tool ... ok
test app::agentic::tools::tests::browser_upload_target_maps_to_browser_interact_scope ... ok
test app::agentic::tools::tests::browser_scroll_target_maps_to_browser_scroll_scope ... ok
test app::agentic::tools::tests::browser_wait_serializes_follow_up_browser_action ... ok
test app::agentic::tools::tests::browser_selection_and_clipboard_tools_map_to_browser_interact_scope ... ok
test app::agentic::tools::tests::browser_wait_target_maps_to_browser_interact_scope ... ok
test app::agentic::tools::tests::filesystem_copy_target_maps_to_custom_scope ... ok
test app::agentic::tools::tests::filesystem_create_directory_target_maps_to_custom_scope ... ok
test app::agentic::tools::tests::filesystem_create_zip_target_maps_to_custom_scope ... ok
test app::agentic::tools::tests::filesystem_delete_target_maps_to_fs_write_scope ... ok
test app::agentic::tools::tests::filesystem_move_target_maps_to_custom_scope ... ok
test app::agentic::tools::tests::filesystem_multi_patch_target_maps_to_fs_write_scope ... ok
test app::agentic::tools::tests::filesystem_patch_target_maps_to_fs_write_scope ... ok
test app::agentic::tools::tests::filesystem_search_target_maps_to_fs_read_scope ... ok
test app::agentic::tools::tests::filesystem_stat_target_maps_to_fs_read_scope ... ok
test app::agentic::tools::tests::browser_snapshot_target_maps_to_browser_inspect_scope ... ok
test app::agentic::tools::tests::browser_synthetic_click_serializes_follow_up_browser_action ... ok
test app::agentic::tools::tests::filesystem_view_target_maps_to_fs_read_scope ... ok
test app::agentic::tools::tests::os_launch_app_target_maps_to_custom_os_launch_scope ... ok
test app::action::tests::approval_authority_verifies_binding ... ok
test app::agentic::tools::tests::pii_egress_field_mut_maps_to_expected_text_slots ... ok
test app::agentic::tools::tests::web_read_target_maps_to_web_retrieve_scope ... ok
test app::agentic::tools::tests::pii_egress_specs_cover_known_egress_tools ... ok
test app::agentic::tools::tests::web_search_target_maps_to_web_retrieve_scope ... ok
test app::agentic::tools::tests::math_eval_target_maps_to_math_eval_scope ... ok
test app::agentic::tools::tests::media_extract_multimodal_target_maps_to_media_extract_multimodal_scope ... ok
test app::agentic::tools::tests::google_bigquery_dynamic_target_distinguishes_read_and_write_queries ... ok
test app::agentic::tools::tests::media_extract_tools_are_reserved_native_names ... ok
test app::agentic::tools::tests::media_extract_transcript_target_maps_to_media_extract_transcript_scope ... ok
test app::agentic::tools::tests::workspace_change_tools_are_reserved_native_names ... ok
test app::agentic::tools::tests::workspace_change_tools_map_to_runtime_scopes ... ok
test app::consensus::tests::archived_recovered_restart_page_range_matches_bounded_fold_page_geometry ... ok
test app::consensus::tests::archived_recovered_history_segment_predecessor_validation_accepts_exact_overlap_page ... ok
test app::consensus::tests::archived_recovered_history_segment_predecessor_validation_rejects_out_of_range_overlap ... ok
test app::consensus::tests::archived_recovered_history_segment_builder_derives_overlap_root_from_range ... ok
test app::consensus::tests::archived_recovered_restart_page_builder_matches_segment_range ... ok
test app::consensus::tests::block_header_canonical_collapse_evidence_requires_carried_certificate ... ok
test app::consensus::tests::block_header_canonical_collapse_evidence_rejects_missing_previous_anchor ... ok
test app::agentic::web::tests::retrieval_affordance_names_remain_structural_and_domain_agnostic ... ok
test app::consensus::tests::block_header_canonical_collapse_evidence_rejects_parent_state_root_mismatch ... ok
test app::consensus::tests::bind_canonical_collapse_continuity_can_emit_succinct_sp1_reference_proof ... ok
test app::consensus::tests::block_header_canonical_collapse_evidence_rejects_mismatched_predecessor_head ... ok
test app::consensus::tests::block_header_canonical_collapse_evidence_accepts_recursive_proof_backed_predecessor ... ok
test app::agentic::web::tests::source_expansion_affordance_names_remain_structural_and_domain_agnostic ... ok
test app::consensus::tests::archived_recovered_history_profile_builder_commits_archive_geometry ... ok
test app::agentic::tools::tests::net_fetch_target_maps_to_net_fetch_scope ... ok
test app::consensus::tests::archived_recovered_history_checkpoint_builder_chains_previous_hash ... ok
test app::consensus::tests::bulletin_retrievability_challenge_validates_contradictory_custody_receipt ... ok
test app::consensus::tests::archived_recovered_history_retention_receipt_builder_commits_checkpoint_and_validator_set ... ok
test app::consensus::tests::archived_recovered_history_profile_builder_rejects_zero_retention_horizon ... ok
test app::consensus::tests::archived_recovered_history_retention_receipt_builder_rejects_short_horizon ... ok
test app::consensus::tests::archived_recovered_history_segment_builder_chains_previous_hash_deterministically ... ok
test app::consensus::tests::archived_recovered_history_checkpoint_builder_commits_segment_and_page_hashes ... ok
test app::consensus::tests::bulletin_retrievability_challenge_validates_contradictory_manifest ... ok
test app::consensus::tests::canonical_collapse_historical_continuation_anchor_requires_all_hashes_or_none ... ok
test app::consensus::tests::canonical_bulletin_close_retrievability_anchor_requires_all_hashes_or_none ... ok
test app::consensus::tests::canonical_replay_prefix_historical_continuation_anchor_matches_optional_triplet ... ok
test app::consensus::tests::derive_canonical_collapse_object_binds_order_close_and_sealed_close ... ok
test app::consensus::tests::canonical_collapse_recursive_proof_rejects_missing_predecessor_step ... ok
test app::action::tests::approval_grant_verifies_signature_and_binding ... ok
test app::consensus::tests::bulletin_retrievability_challenge_validates_missing_entries_and_rejects_false_claims ... ok
test app::consensus::tests::canonical_collapse_recursive_proof_rejects_previous_proof_hash_mismatch ... ok
test app::consensus::tests::canonical_collapse_recursive_proof_matches_collapse_rejects_payload_mismatch ... ok
test app::consensus::tests::canonical_collapse_recursive_proof_rejects_corrupted_proof_bytes ... ok
test app::consensus::tests::bulletin_retrievability_challenge_validates_invalid_surface_entries ... ok
test app::consensus::tests::canonical_collapse_commitment_stays_stable_across_materialized_ordering_bundle_fields ... ok
test app::consensus::tests::canonical_collapse_header_surface_equality_ignores_materialized_ordering_bundle_fields ... ok
test app::consensus::tests::canonical_collapse_recursive_proof_hash_changes_when_previous_step_changes ... ok
test app::consensus::tests::bulletin_retrievability_challenge_validates_missing_profile_manifest_and_receipt ... ok
test app::consensus::tests::committed_surface_canonical_order_certificate_verifies_for_canonical_block ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_invalid_public_inputs_hash ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_omission_dominance ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_invalid_proof_binding ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_invalid_surface ... ok
test app::consensus::tests::derive_canonical_order_execution_object_returns_abort_without_certificate ... ok
test app::consensus::tests::derive_canonical_collapse_object_returns_order_abort_without_certificate ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_certificate_height_mismatch ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_invalid_bulletin_close ... ok
test app::consensus::tests::derive_canonical_collapse_object_binds_previous_collapse_hash ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_invalid_availability_certificate ... ok
test app::consensus::tests::recoverable_slot_payload_hash_changes_with_transaction_hashes ... ok
test app::consensus::tests::recoverable_slot_payload_v2_hash_changes_with_transaction_bytes ... ok
test app::consensus::tests::recovered_publication_bundle_hash_changes_with_supporting_witnesses ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_state_root_mismatch ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_transactions_root_mismatch ... ok
test app::consensus::tests::recovery_capsule_hash_changes_with_payload_commitment ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_surface_reconstruction_failure ... ok
test app::consensus::tests::recoverable_slot_payload_v3_hash_changes_with_publication_bundle_bytes ... ok
test app::consensus::tests::recovery_witness_and_missing_share_hashes_bind_distinct_evidence ... ok
test app::consensus::tests::publication_frontier_stale_parent_link_contradiction_verifies ... ok
test app::consensus::tests::reference_canonical_order_certificate_verifies_for_empty_block ... ok
test app::consensus::tests::publication_frontier_conflict_contradiction_verifies ... ok
