phase	result	elapsed_seconds	command
readiness_evidence_checker	PASS	0	python3 .github/scripts/check_aft_quv_readiness_evidence.py --self-test 
process_evidence_checker	PASS	0	python3 .github/scripts/check_aft_m16q_process_evidence.py --self-test 
format_check	PASS	6	cargo fmt --check -p ioi-types -p ioi-crypto -p ioi-api -p ioi-services -p ioi-consensus -p ioi-networking -p agentgres -p ioi-validator -p ioi-cli 
formal_complete	PASS	2623	bash .github/scripts/run_aft_formal_checks.sh 
quv_core	PASS	119	cargo test -p ioi-consensus --features aft --lib aft::query_unanimity::tests 
quv_journal_component	PASS	1	cargo test --locked -p ioi-consensus --features aft --lib aft::query_unanimity::journal::tests 
quv_anchor_reservation	PASS	1	cargo test --locked -p ioi-consensus --features aft --lib aft::query_unanimity::journal::anchor_reservation::tests 
quv_record_reservation	PASS	1	python3 .github/scripts/check_aft_quv_record_reservation.py --output /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv-record-reservation 
endpoint_reservation	PASS	4	python3 .github/scripts/check_aft_endpoint_reservation.py --output /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/endpoint-reservation 
receipt_reservation	PASS	4	python3 .github/scripts/check_aft_receipt_reservation.py --output /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/receipt-reservation 
quv_handoff_reservation	PASS	2	python3 .github/scripts/check_aft_quv_handoff_reservation.py --output /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv-handoff-reservation 
quv_journal_sync_checker	PASS	0	python3 .github/scripts/check_aft_quv_journal_sync.py --self-test 
quv_journal_trace_tool	PASS	0	strace --version 
quv_journal_ancestry	PASS	1	strace -f -yy -e trace=fsync\,rename\,openat\,mkdir -o /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_journal_ancestry.strace cargo test --locked -p ioi-consensus --features aft --lib aft::query_unanimity::journal::tests::bootstrap_interruption_recovers_only_the_provisioned_initial_record -- --exact --nocapture 
quv_journal_sync_evidence	PASS	0	python3 .github/scripts/check_aft_quv_journal_sync.py --trace /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_journal_ancestry.strace --result /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_journal_ancestry.log 
manifest_types	PASS	0	cargo test --locked -p ioi-types --lib app::consequence::tests 
quv_bootstrap_policy	PASS	1	cargo test --locked -p ioi-types --lib quv_policy_requires_exact_authority_and_durable_roots 
post_commit_lock_order	PASS	0	cargo test --locked -p ioi-validator --features consensus-aft --lib standard::orchestration::finalize::tests::finalization_releases_node_state_before_waiting_for_context -- --exact 
quv_consequence_wait_lock	PASS	1	cargo test --locked -p ioi-validator --features consensus-aft --lib standard::orchestration::grpc_public::quv_refusal_status_tests::quv_wait_releases_consequence_lock_and_reopen_restores_exclusion -- --exact 
sync_executed_prefix	PASS	0	cargo test --locked -p ioi-validator --features consensus-aft --lib standard::orchestration::sync::tests:: 
quv_successor_root_gate	PASS	1	cargo test --locked -p ioi-validator --features consensus-aft --lib standard::orchestration::consensus::production::tests::quv_ 
quv_runtime_policy	PASS	8	cargo test --locked -p ioi-validator --features consensus-aft --lib standard::orchestration::quv:: 
quv_handoff_evidence_self_test	PASS	0	python3 .github/scripts/check_aft_quv_handoff_evidence.py --self-test 
state_overlay_scan	PASS	0	cargo test --locked -p ioi-api --lib state::overlay::tests:: 
manifest_admission	PASS	1	cargo test --locked -p ioi-services --lib aft_effect_registry 
pq_online_record_limit	PASS	0	cargo test --locked -p ioi-crypto --lib online_record_byte_limit_refuses_before_sequence_consumption 
pq_transport	PASS	18	cargo test -p ioi-networking --lib pq_channel 
pq_outbox_ancestry	PASS	1	python3 .github/scripts/check_aft_pq_outbox_ancestry.py --output /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/pq-outbox-ancestry 
pq_outbox_reservation	PASS	1	python3 .github/scripts/check_aft_pq_outbox_reservation.py --output /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/pq-outbox-reservation 
pq_swarm_admission	PASS	6	cargo test -p ioi-networking --lib protected_payload_routes_only_after_aead_and_type_agreement 
pq_swarm_quv_lanes	PASS	17	cargo test -p ioi-networking --lib libp2p::swarm::tests:: 
consequence_t10	PASS	13	cargo test -p agentgres consequence::tests 
terminal_seal_sim	PASS	0	cargo test -p ioi-consensus --features aft --lib adversarial_campaigns 
terminal_seal_receipts	PASS	210	cargo test -p ioi-finality --features portable-assurance --lib portable_assurance::tests 
quv_component_timing	PASS	98	cargo test --release -p ioi-consensus --features aft --lib m16q_profiles_mldsa_signing_and_durable_write_before_reply -- --ignored --nocapture 
diagnostic_retention	PASS	0	cargo test --locked -p ioi-cli --lib --features consensus-aft\,vm-wasm\,state-iavl orchestration_restart_retains_diagnostics_and_refuses_unwritable_sink 
quv_refusal_mapping	PASS	1	cargo test --locked -p ioi-validator --features consensus-aft --lib conflict_status_preserves_type_and_never_classifies_message_text 
quv_refusal_assertion	PASS	0	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl quv_conflict_assertion_requires_structured_refusal -- --exact 
quv_expired_result_assertion	PASS	1	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl quv_expired_result_requires_strict_admitted_height_and_unchanged_receipt -- --exact 
quv_fork_refusal_assertion	PASS	0	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl quv_unexpected_head_assertion_requires_exact_typed_status -- --exact 
quv_conflict_measurement	PASS	0	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl quv_conflict_measurement_reports_observed_records_not_rpc_outcomes -- --exact 
quv_operation_start_parser	PASS	1	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl quv_operation_start_parser_requires_exact_diagnostic_shape -- --exact 
quv_quota_drop_parser	PASS	0	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl quota_drop_parser_requires_exact_diagnostic_shape -- --exact 
quv_member_store_inspection	PASS	1	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl member_store_inspection_finds_only_verbatim_hashes -- --exact 
readiness_recovery_probe	PASS	0	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl recovery_probe_retries_only_startup_and_requires_exact_result -- --exact 
readiness_rpc_observation	PASS	1	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl readiness_wait_surfaces_early_rpc_error_without_diagnostic_timeout -- --exact 
readiness_observation_assertion	PASS	0	cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl readiness_observation_requires_positive_wait_and_exact_nonce -- --exact 
quv_consecutive_readiness	PASS	269	env IOI_AFT_BENCH_TRACE_DIR=/home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_consecutive_readiness-components env IOI_TEST_ORCH_RUST_LOG=info\,quv=debug\,network=debug cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl test_aft_quv_consecutive_slots_wait_and_reopen_without_blocking_unrelated_effects -- --exact --nocapture 
quv_readiness_evidence	PASS	0	python3 .github/scripts/check_aft_quv_readiness_evidence.py /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_consecutive_readiness.log --components /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_consecutive_readiness-components 
quv_single_correct_process	PASS	661	env IOI_AFT_BENCH_TRACE_DIR=/home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_single_correct_process-components env IOI_TEST_ORCH_RUST_LOG=quv=debug\,network=debug cargo test -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl test_aft_quv_m16q_each_single_correct_member_and_conflict_isolation -- --nocapture 
quv_process_evidence	PASS	0	python3 .github/scripts/check_aft_m16q_process_evidence.py /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_single_correct_process.log --components /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_single_correct_process-components 
quv_byzantine_flood	PASS	634	env IOI_AFT_BENCH_TRACE_DIR=/home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_byzantine_flood-components env IOI_TEST_ORCH_RUST_LOG=info\,quv=debug\,network=debug cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl test_aft_quv_byzantine_flood_and_high_water_restart_preserve_unrelated_progress -- --exact --nocapture 
quv_flood_evidence	PASS	0	python3 .github/scripts/check_aft_m16q_process_evidence.py --flood /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_byzantine_flood.log --components /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_byzantine_flood-components 
quv_status_squat	PASS	196	env IOI_AFT_BENCH_TRACE_DIR=/home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_status_squat-components env IOI_TEST_ORCH_RUST_LOG=info\,quv=debug\,network=debug cargo test --locked -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl test_aft_quv_status_squat_first_contact_keeps_genuine_carriers -- --exact --nocapture 
quv_status_squat_evidence	PASS	0	python3 .github/scripts/check_aft_m16q_process_evidence.py --status-squat /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_status_squat.log --components /home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_status_squat-components 
quv_disjoint_reconfiguration	PASS	328	env IOI_AFT_BENCH_TRACE_DIR=/home/heathledger/Documents/ioi/repos/ioi/internal-docs/architecture/protocols/aft/evidence/m16q-runs/20260907T152920Z-9ce911fe798b/quv_disjoint_reconfiguration-components env IOI_TEST_ORCH_RUST_LOG=info\,quv=debug\,network=debug cargo test -p ioi-cli --test aft_e2e --features consensus-aft\,vm-wasm\,state-iavl test_aft_quv_disjoint_successors_install_live_handoff_before_activation -- --nocapture 
